tree,depth,nodes,Selecting Bootstrapped Samples,Initialization of FindBestCondOblique,SampleProjection,ApplyProjection,Bucket Allocation & Initialization=0,Filling & Finalizing the Buckets,SortFeature,ScanSplits,Post-processing after Training all Trees,EvaluateProjection,FillExampleBucketSet (next 3 calls),,  ,Parameter,Value
0,0,1,0.000330803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,rows,4096
0,1,1,0.0,0.000113455,0.0030211,0.0342656,6.171e-05,0.008603173,0.426571722,0.146008616,0.0,0.592958,0.440639515,,,cols,4096
0,2,2,0.0,0.000426854,0.00636007,0.04162758,0.000119125,0.009162696,0.440497006,0.154688709,0.0,0.6294565999999999,0.462698796,,,num_trees,10
0,3,4,0.0,0.000573067,0.01049513,0.05830084000000001,0.000225591,0.013256485,0.598957112,0.226677668,0.0,0.8778441300000001,0.634154499,,,tree_depth,-1
0,4,6,0.0,0.000670747,0.012076952,0.056674332,0.000276063,0.011722296,0.505089527,0.197023775,0.0,0.75487645,0.539407996,,,proj_density_factor,3
0,5,10,0.0,0.00083272,0.011964722,0.045599444,0.0003604,0.008382346,0.354781058,0.13041571799999999,0.0,0.53878226,0.387860877,,,max_projections,1000
0,6,14,0.0,0.000965861,0.017072485,0.058356032999999995,0.000486098,0.0119287,0.488306478,0.189707364,0.0,0.74901851,0.533476231,,,num_threads,1
0,7,14,0.0,0.001005619,0.017800474,0.059036440999999995,0.000525259,0.010439461,0.408694666,0.162809478,0.0,0.64436427,0.454954481,,,sort_method,SortFeature
0,8,10,0.0,0.000761396,0.012573415,0.052751445,0.000357665,0.005974302,0.230472129,0.086470405,0.0,0.36874101,0.262344092,,,cpu_model,Intel(R)_Core(TM)_Ultra_9_185H
0,9,12,0.0,0.000871439,0.014163767,0.049139501,0.000392469,0.005564678,0.198226083,0.077526597,0.0,0.33151857,0.233236579,,,repeat_index,1
0,10,16,0.0,0.001357923,0.021536977,0.06706622500000001,0.000624009,0.006544394,0.206845357,0.088332788,0.0,0.3857222,0.262669258,,,,
0,11,26,0.0,0.002404524,0.038257341,0.08442335299999999,0.001088701,0.007570005,0.211097282,0.096117592,0.0,0.43765476,0.289698715,,,,
0,12,38,0.0,0.003825879,0.062981472,0.100077539,0.001791386,0.008344128,0.194540128,0.083575529,0.0,0.46905829,0.312878616,,,,
0,13,28,0.0,0.0028580339999999997,0.046974294,0.085040076,0.001285387,0.008638259,0.242572239,0.114308264,0.0,0.51771382,0.341123222,,,,
0,14,30,0.0,0.002592725,0.044307761,0.080199583,0.001272514,0.008424895,0.228687505,0.110160179,0.0,0.48734580000000005,0.320630616,,,,
0,15,32,0.0,0.003181748,0.050834659,0.072198161,0.001454636,0.00622598,0.134363497,0.064044935,0.0,0.35856098,0.232001791,,,,
0,16,38,0.0,0.0033909,0.053624981,0.06749916,0.001625988,0.005848327,0.111044384,0.049868271,0.0,0.32340679,0.209837601,,,,
0,17,24,0.0,0.00171808,0.027045516,0.047076398,0.000875477,0.003895457,0.083946526,0.037050271,0.0,0.20803939,0.136836318,,,,
0,18,28,0.0,0.002065235,0.031611137,0.046545124,0.001005068,0.004061117,0.084368335,0.042312968,0.0,0.2274807,0.144873551,,,,
0,19,26,0.0,0.001467129,0.022120110999999998,0.033161864,0.000825094,0.002843873,0.051712793,0.024846451,0.0,0.1496859,0.09641146,,,,
0,20,20,0.0,0.001030453,0.016697243,0.028305946,0.000598706,0.002277819,0.041117047,0.02046473,0.0,0.11258319,0.071413091,,,,
0,21,22,0.0,0.001297901,0.018818861,0.028817636,0.000654444,0.002058347,0.030637923,0.015873726,0.0,0.10044027999999999,0.062769935,,,,
0,22,18,0.0,0.001234973,0.015960507999999998,0.020634098,0.000565945,0.001667809,0.02252237,0.010873682,0.0,0.08118808,0.050955383,,,,
0,23,16,0.0,0.000892881,0.015028978,0.016461183,0.000531932,0.001325336,0.01530376,0.007831699,0.0,0.06724827,0.041014373,,,,
0,24,14,0.0,0.000867453,0.012582894,0.013492141,0.000442375,0.001056403,0.011515446,0.004847649,0.0,0.05200128,0.0326179,,,,
0,25,8,0.0,0.000301902,0.004836244,0.004494434,0.00020895900000000002,0.000445288,0.003886165,0.00193484,0.0,0.0221324,0.013487428,,,,
0,26,4,0.0,0.000160012,0.002493336,0.002885502,0.000103793,0.000265464,0.00281907,0.00095958,0.0,0.01208489,0.007734883,,,,
0,27,2,0.0,7.320800000000001e-05,0.0011613790000000001,0.000567894,5.222e-05,8.3373e-05,0.000172942,0.000118281,0.0,0.00424212,0.002497308,,,,
1,0,1,0.00028197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,1,1,0.0,4.3847e-05,0.00100902,0.0210974,2.8625e-05,0.004996298,0.261966508,0.075854297,0.0,0.347605,0.268409269,,,,
1,2,2,0.0,9.894299999999999e-05,0.004319935,0.043584576,9.0886e-05,0.010516742,0.527387855,0.212108278,0.0,0.76782565,0.546751078,,,,
1,3,4,0.0,0.00040121,0.007699805,0.055414777,0.000190725,0.013918727,0.631692509,0.267243562,0.0,0.9442605300000001,0.662329087,,,,
1,4,4,0.0,0.000641863,0.01082469,0.059750761,0.000265141,0.013438898,0.621236318,0.263650356,0.0,0.94445906,0.660580632,,,,
1,5,4,0.0,0.000603246,0.009431792,0.04596268,0.00022072499999999998,0.009101964,0.390518427,0.165059667,0.0,0.60301348,0.421645861,,,,
1,6,8,0.0,0.001048203,0.015371472,0.05199516,0.000400735,0.008745136,0.348398045,0.149371537,0.0,0.56250704,0.389332197,,,,
1,7,14,0.0,0.001653528,0.02876817,0.077674767,0.0007500849999999999,0.009906881,0.341036185,0.159420197,0.0,0.60777094,0.408824926,,,,
1,8,16,0.0,0.00145977,0.023456327,0.082101902,0.000657537,0.009358069,0.307246246,0.149404475,0.0,0.54759784,0.364283189,,,,
1,9,32,0.0,0.002717196,0.04122944,0.096237725,0.001193299,0.010683904,0.318196256,0.160710678,0.0,0.61745663,0.402899202,,,,
1,10,38,0.0,0.002644854,0.037592748,0.079140723,0.001276188,0.007672188,0.199327302,0.093454785,0.0,0.41652906,0.273791417,,,,
1,11,48,0.0,0.003353694,0.051779248,0.08999788,0.001689653,0.008020314,0.185067442,0.093731748,0.0,0.4410143,0.282535779,,,,
1,12,46,0.0,0.003406436,0.052948287000000004,0.086877927,0.001662022,0.007482064,0.16039228,0.082083406,0.0,0.40777881,0.259395861,,,,
1,13,48,0.0,0.003425897,0.054453234,0.079514845,0.001698474,0.006490648,0.121303543,0.062322997,0.0,0.34848642,0.220121829,,,,
1,14,38,0.0,0.002227925,0.03804053,0.075181587,0.001214258,0.005417037,0.103351345,0.055561281,0.0,0.26976409,0.17016332,,,,
1,15,40,0.0,0.002404241,0.037054411,0.061614565,0.001259662,0.004590262,0.077199683,0.040294168,0.0,0.24733439,0.15566489,,,,
1,16,44,0.0,0.002855918,0.043252988,0.050734861,0.001484975,0.004119764,0.054585111,0.030079405,0.0,0.22303219,0.137600038,,,,
1,17,32,0.0,0.001773197,0.027724083,0.035053506,0.001090427,0.002862371,0.038514215,0.021775973,0.0,0.15303134,0.094562794,,,,
1,18,28,0.0,0.002109163,0.031103378,0.028803684,0.001014556,0.002542379,0.02859156,0.012523421,0.0,0.13398041,0.084329807,,,,
1,19,18,0.0,0.000728776,0.012816019,0.012286949,0.0005012840000000001,0.001149779,0.011039103,0.00394463,0.0,0.05451491,0.034400935,,,,
1,20,6,0.0,0.00024148100000000001,0.004633802,0.0030415299999999998,0.000179782,0.000327156,0.001711112,0.000974605,0.0,0.01685214,0.010199403,,,,
1,21,2,0.0,0.000358578,0.00471753,0.0024387000000000002,0.000127774,0.00020961,0.000560707,0.000344172,0.0,0.01119601,0.006784067,,,,
2,0,1,0.000283952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2,1,1,0.0,4.3055e-05,0.00366482,0.0498159,9.564e-05,0.01239531,0.61289178,0.225869107,0.0,0.868946,0.63439674,,,,
2,2,2,0.0,0.00028542,0.00368841,0.04178917,8.933899999999999e-05,0.009703492,0.475398168,0.169875639,0.0,0.6684232999999999,0.491491652,,,,
2,3,4,0.0,0.000417122,0.007158592,0.03280999,0.00018484,0.005846387,0.265006067,0.086926962,0.0,0.3769537,0.280678054,,,,
2,4,8,0.0,0.000931057,0.01282196,0.036914238,0.000364971,0.006082155,0.243634822,0.08126213,0.0,0.36957059,0.270849281,,,,
2,5,12,0.0,0.001004211,0.017715493,0.051995665,0.000504598,0.00622027,0.241872917,0.083847567,0.0,0.38006136999999995,0.275307089,,,,
2,6,18,0.0,0.001279248,0.016189144,0.043586098000000004,0.000545301,0.005724458,0.215878775,0.07317158,0.0,0.3425238,0.247875216,,,,
2,7,24,0.0,0.001208776,0.018036375,0.044042884,0.000655596,0.005935175,0.219571557,0.074602672,0.0,0.3542379,0.255636685,,,,
2,8,24,0.0,0.001022675,0.016095608,0.036730797,0.000628643,0.005209023,0.190470796,0.063572961,0.0,0.3102063,0.224059334,,,,
2,9,22,0.0,0.000979492,0.017574865,0.042440487,0.000606733,0.006640057,0.240723671,0.09535856,0.0,0.39720485,0.277286719,,,,
2,10,20,0.0,0.00123999,0.019015673,0.046983877,0.000602449,0.007449555,0.266211478,0.110260345,0.0,0.43696209,0.303137995,,,,
2,11,20,0.0,0.001269502,0.01891587,0.040376521,0.000624277,0.005366293,0.170765384,0.069473897,0.0,0.29824102,0.205771486,,,,
2,12,18,0.0,0.001207946,0.020258425,0.04808117,0.000587302,0.005895553,0.186200006,0.082335464,0.0,0.33607612,0.226742109,,,,
2,13,26,0.0,0.002164641,0.033068902,0.06031057,0.000915269,0.006081508,0.165839335,0.076599831,0.0,0.33420741,0.22247489,,,,
2,14,26,0.0,0.001888868,0.027885214,0.059295212,0.00084846,0.005154246,0.124328366,0.057281782,0.0,0.26681759,0.17529502,,,,
2,15,30,0.0,0.001758227,0.028685251,0.054244749,0.000896424,0.004918312,0.105422559,0.050243282,0.0,0.24280146,0.157854394,,,,
2,16,34,0.0,0.001756892,0.031088872,0.061376787,0.001003574,0.004998399,0.10044653,0.049281555,0.0,0.24490467999999999,0.15749771,,,,
2,17,38,0.0,0.002543521,0.040805858,0.061029027,0.001227183,0.00472299,0.08277951,0.03999177,0.0,0.2271368,0.145254507,,,,
2,18,42,0.0,0.002437986,0.0384061,0.043487988,0.001261158,0.003796952,0.053086142,0.026257087,0.0,0.18845191,0.11764073,,,,
2,19,30,0.0,0.001671092,0.024627403,0.031795870999999996,0.000881772,0.002702514,0.039524197,0.016433447,0.0,0.13334929,0.085972815,,,,
2,20,22,0.0,0.00095353,0.016893873,0.019860681,0.000624604,0.001724283,0.021419003,0.010401126,0.0,0.08241764,0.051346128,,,,
2,21,16,0.0,0.001202233,0.017865213,0.016327647,0.000568024,0.001421349,0.0160527,0.007216631,0.0,0.06956573,0.043962996,,,,
2,22,6,0.0,0.000496562,0.007520082,0.00811708,0.00023149,0.000648954,0.008588178,0.003610866,0.0,0.03163033,0.020166296,,,,
2,23,8,0.0,0.000543725,0.007299962,0.006475871,0.000256036,0.00062717,0.006969594,0.0021459,0.0,0.03010958,0.019273608,,,,
3,0,1,0.000690008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,1,1,0.0,0.000133249,0.00387811,0.0400638,0.000320249,0.01001528,0.497996834,0.177582793,0.0,0.698705,0.513902837,,,,
3,2,2,0.0,0.00016688,0.002088156,0.02423337,5.7782000000000003e-05,0.005345625,0.261575478,0.080563066,0.0,0.3548941,0.269883644,,,,
3,3,4,0.0,0.000322147,0.0055850430000000005,0.03527226,0.000145248,0.006326112,0.274970478,0.097043605,0.0,0.3950469,0.289575366,,,,
3,4,8,0.0,0.000661653,0.011758122,0.0587649,0.000280442,0.009917907,0.410629039,0.162516419,0.0,0.6128535900000001,0.436289544,,,,
3,5,16,0.0,0.001172994,0.017711945,0.056565732,0.00052246,0.007144068,0.253498421,0.099614968,0.0,0.41137597000000004,0.289812015,,,,
3,6,28,0.0,0.002208622,0.03589066,0.07851877,0.001035621,0.008758806,0.269228771,0.115398391,0.0,0.49189283,0.334981806,,,,
3,7,36,0.0,0.003247308,0.0487934,0.083977552,0.001399463,0.007896266,0.21245736,0.086585237,0.0,0.43243251,0.293643073,,,,
3,8,36,0.0,0.003486116,0.053799023,0.067042379,0.001565464,0.006981092,0.178164318,0.072260973,0.0,0.39670231,0.267958839,,,,
3,9,34,0.0,0.002882816,0.045251788,0.062170634,0.001394591,0.006203201,0.157400993,0.063130707,0.0,0.34339975,0.231818666,,,,
3,10,32,0.0,0.002924434,0.041854644,0.061894011,0.001241582,0.005870929,0.141907335,0.057776006,0.0,0.31230037,0.210555157,,,,
3,11,30,0.0,0.002801379,0.040326996,0.051233787,0.001357321,0.004984746,0.120006563,0.049719686,0.0,0.27600197,0.184172488,,,,
3,12,28,0.0,0.002300116,0.032969461,0.044577605,0.001021563,0.004368612,0.105690633,0.041302479,0.0,0.23463736000000002,0.158752742,,,,
3,13,22,0.0,0.001394833,0.020565197,0.03413472,0.000677015,0.003312322,0.085718951,0.034744904,0.0,0.18034961,0.121996303,,,,
3,14,26,0.0,0.001526886,0.020097933,0.034075869,0.0007309700000000001,0.003334776,0.074398386,0.030033154,0.0,0.16694265,0.111596411,,,,
3,15,16,0.0,0.0009352970000000001,0.012640681,0.026875153,0.00044610200000000003,0.002467965,0.059029388,0.02528962,0.0,0.12358111000000001,0.082245312,,,,
3,16,14,0.0,0.000809175,0.011536873,0.027996249,0.000380542,0.002175689,0.049261397,0.022732443,0.0,0.10767722,0.070499103,,,,
3,17,20,0.0,0.001157431,0.016247059,0.032284759999999996,0.000585381,0.002350293,0.043994318,0.020175701,0.0,0.11291456999999999,0.073003501,,,,
3,18,20,0.0,0.001161915,0.015805601,0.026568803000000002,0.00057984,0.002034643,0.032754274,0.015550411,0.0,0.09601182,0.06084874,,,,
3,19,24,0.0,0.001354644,0.018842173,0.024416546,0.000674724,0.001850629,0.023332266,0.011463702,0.0,0.0897064,0.055709988,,,,
3,20,22,0.0,0.00139998,0.017140297,0.019623781,0.0006294170000000001,0.001519502,0.016168497,0.00741763,0.0,0.07470231,0.046318446,,,,
3,21,14,0.0,0.000758908,0.010694835,0.010212107,0.00039069,0.000895172,0.008354851,0.004085121,0.0,0.04351351,0.026753313,,,,
3,22,4,0.0,0.000237326,0.003520376,0.005475596,0.000111267,0.000370179,0.005379413,0.002082038,0.0,0.01678229,0.010856298,,,,
3,23,4,0.0,0.000272602,0.003003667,0.002621355,0.000104164,0.000221624,0.001347038,0.000741101,0.0,0.01082512,0.006380473,,,,
3,24,4,0.0,0.000207765,0.003705139,0.002052346,0.000110188,0.000202088,0.000953605,0.000409613,0.0,0.01002449,0.006090783,,,,
4,0,1,0.000283388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,1,1,0.0,4.5555e-05,0.00133739,0.0225694,5.3936e-05,0.005399388,0.28326276,0.082545858,0.0,0.377233,0.290803972,,,,
4,2,2,0.0,0.000148954,0.002004507,0.02414714,6.0516e-05,0.005211553,0.265338002,0.078565846,0.0,0.3564434,0.273469908,,,,
4,3,4,0.0,0.000204582,0.003194998,0.026327861,0.000107941,0.005125424,0.23535295,0.075859247,0.0,0.327572,0.245634433,,,,
4,4,6,0.0,0.00032134,0.00463889,0.031165580000000002,0.000158119,0.005203291,0.224967549,0.075625155,0.0,0.32143396999999996,0.237813536,,,,
4,5,12,0.0,0.000553055,0.008753781,0.038725692,0.00031609,0.005554212,0.217989197,0.076769983,0.0,0.32870467,0.238486858,,,,
4,6,20,0.0,0.00093854,0.014009377,0.046022435,0.000526439,0.005929914,0.20741874800000001,0.074937631,0.0,0.33331898,0.237950524,,,,
4,7,26,0.0,0.001200895,0.018560543,0.049193705,0.00067831,0.005846549,0.18732668,0.071639553,0.0,0.32192835,0.224983679,,,,
4,8,32,0.0,0.001464813,0.022753204,0.053291401,0.000845477,0.005893845,0.168669814,0.067653,0.0,0.3119074,0.213729488,,,,
4,9,34,0.0,0.001547889,0.023876087,0.055914186,0.000894396,0.005661213,0.147472529,0.062429197,0.0,0.28902223,0.194519369,,,,
4,10,38,0.0,0.001798423,0.02652728,0.060317142,0.001022719,0.005429977,0.130549874,0.056769606,0.0,0.27514091,0.182490021,,,,
4,11,52,0.0,0.002426232,0.035607723,0.066826213,0.001382486,0.005846863,0.114255547,0.051957386,0.0,0.28278273,0.183634605,,,,
4,12,48,0.0,0.002378299,0.034823719,0.05929921,0.001286475,0.005076073,0.092970802,0.041899374,0.0,0.24339832,0.157129161,,,,
4,13,48,0.0,0.002368321,0.034002977,0.051381399,0.001327111,0.004302606,0.069864983,0.033049508,0.0,0.20932726,0.133000622,,,,
4,14,32,0.0,0.001705268,0.023871565,0.040603541,0.000874969,0.003102916,0.049545271,0.024708393,0.0,0.1473355,0.09271765,,,,
4,15,34,0.0,0.001844442,0.02536709,0.036506888,0.000956483,0.00288748,0.039266039,0.019417284,0.0,0.13693563,0.085227523,,,,
4,16,26,0.0,0.001374936,0.019978561,0.028278804,0.000756934,0.002137624,0.028953687,0.013767272,0.0,0.10233905,0.064083135,,,,
